2026-05-04 10:23:27,423 | INFO | Eval rows: 2
2026-05-04 10:23:27,423 | INFO | Evaluating base model: gpt2
2026-05-04 11:41:37,249 | INFO | Eval rows: 2
2026-05-04 11:41:37,250 | INFO | Evaluating base model: gpt2
2026-05-05 08:33:05,348 | INFO | Eval rows: 100
2026-05-05 08:33:05,348 | INFO | Evaluating base model: gpt2
2026-05-06 16:24:34,759 | INFO | Eval rows: 100
2026-05-06 16:24:34,759 | INFO | Evaluating base model: gpt2
2026-05-06 16:24:51,385 | INFO | Evaluating reference model: checkpoints/reference/best.pt
2026-05-06 16:24:58,729 | INFO | Evaluating scratch model: checkpoints/scratch/best.pt
2026-05-06 16:25:12,069 | INFO | Evaluating LoRA adapter: checkpoints/lora
2026-05-06 16:25:21,078 | INFO | Wrote outputs/metrics.json
2026-05-07 03:06:50,262 | INFO | Eval rows: 106
2026-05-07 03:06:50,262 | INFO | Evaluating base model: gpt2
2026-05-07 03:08:32,626 | INFO | Evaluating reference model: checkpoints/reference/best.pt
2026-05-07 03:08:59,599 | INFO | Evaluating scratch model: checkpoints/scratch/best.pt
2026-05-07 03:09:29,142 | INFO | Evaluating LoRA adapter: checkpoints/lora
2026-05-07 03:10:46,599 | INFO | Wrote outputs/metrics.json
2026-05-09 17:30:52,817 | INFO | Eval rows: 206
2026-05-09 17:30:52,818 | INFO | Evaluating base model: gpt2
2026-05-09 17:31:08,932 | INFO | Evaluating reference model: checkpoints/reference/best.pt
2026-05-09 17:31:15,540 | INFO | Evaluating scratch model: checkpoints/scratch/best.pt
2026-05-09 17:31:25,047 | INFO | Evaluating LoRA adapter: checkpoints/lora
2026-05-09 17:31:37,609 | INFO | Wrote outputs/metrics.json
2026-05-15 18:06:04,654 | INFO | Eval rows: 135
2026-05-15 18:06:04,654 | INFO | Evaluating base model: gpt2
2026-05-15 18:06:16,899 | INFO | Evaluating reference model: checkpoints/reference/best.pt
2026-05-15 18:06:21,805 | INFO | Evaluating scratch model: checkpoints/scratch/best.pt
2026-05-15 18:06:29,441 | INFO | Evaluating LoRA adapter: checkpoints/lora
2026-05-15 18:06:38,113 | INFO | Wrote outputs/metrics.json
